,cliques,nodes per clique,edges per clique,connectivity between cliques,w2v window,w2v dimensions,average loss,min loss,average auc,max auc,edges,nodes,density
26535,5,8,56,3,7,16,37856.2703125,35315.1171875,0.970344387755102,0.9878826530612245,280,40,0.358974358974359
24757,5,8,32,2,1,256,8095.78857421875,7700.1015625,0.9703125,1.0,160,40,0.20512820512820512
24803,5,8,40,2,1,512,8840.740625,8353.2177734375,0.9702500000000001,0.986875,200,40,0.2564102564102564
18717,4,12,56,2,9,128,46767.52109375,42426.5703125,0.9702479338842975,0.9948347107438017,224,48,0.19858156028368795
26534,5,8,56,3,7,8,37098.61171875,35714.90625,0.9700255102040817,0.9917091836734695,280,40,0.358974358974359
24906,5,8,56,2,5,16,27173.159765625,25190.015625,0.9700255102040816,0.9897959183673469,280,40,0.358974358974359
24753,5,8,32,2,1,16,8069.54091796875,7686.7666015625,0.969921875,1.0,160,40,0.20512820512820512
26515,5,8,56,3,3,4,18570.092578125,17460.25,0.9698979591836736,0.9789540816326531,280,40,0.358974358974359
23188,5,8,40,1,3,32,17646.026953125,16802.625,0.969875,0.98125,200,40,0.2564102564102564
3837,2,8,56,1,3,16,12191.8046875,11482.1142578125,0.9698347107438016,0.9834710743801652,112,16,0.9333333333333333
3842,2,8,56,1,3,512,12194.537109375,11482.4326171875,0.9698347107438016,0.9834710743801653,112,16,0.9333333333333333
19995,4,8,48,3,3,128,16793.44375,9098.1572265625,0.9698060941828255,0.9882271468144044,192,32,0.3870967741935484
24725,5,8,24,2,5,8,26331.078515625,24894.0078125,0.9697916666666666,0.9878472222222222,120,40,0.15384615384615385
21527,4,8,32,4,3,512,18738.221484375,10234.7861328125,0.9697865353037767,0.986863711001642,128,32,0.25806451612903225
16613,4,8,24,1,1,512,7722.7673828125,7486.716796875,0.9695290858725762,0.9916897506925207,96,32,0.1935483870967742
21928,4,12,56,4,3,32,21907.8265625,17946.986328125,0.9695247933884298,0.983987603305785,224,48,0.19858156028368795
13579,3,8,56,3,7,256,27428.80546875,24828.876953125,0.9695133149678604,1.0,168,24,0.6086956521739131
10346,3,8,56,1,9,64,31028.8671875,28114.6484375,0.9695133149678604,0.9935720844811755,168,24,0.6086956521739131
21525,4,8,32,4,3,128,18979.78359375,17549.49609375,0.9694581280788178,0.9967159277504105,128,32,0.25806451612903225
23286,5,8,56,1,5,16,25266.934765625,23323.384765625,0.9694515306122449,0.9897959183673469,280,40,0.358974358974359
3841,2,8,56,1,3,256,12192.74453125,11481.8369140625,0.9694214876033056,0.9834710743801653,112,16,0.9333333333333333
12299,3,16,24,2,3,64,19970.057421875,16578.271484375,0.9693877551020407,0.9846938775510204,72,48,0.06382978723404255
23465,5,12,40,1,5,8,26250.666015625,17072.298828125,0.969375,0.9806250000000001,200,60,0.11299435028248588
10347,3,8,56,1,9,128,31067.662109375,28135.65625,0.9693296602387511,0.992653810835629,168,24,0.6086956521739131
26538,5,8,56,3,7,128,37798.90859375,35660.61328125,0.9691326530612244,0.9872448979591837,280,40,0.358974358974359
24850,5,8,48,2,3,4,17484.221875,16716.58984375,0.9690104166666667,0.990451388888889,240,40,0.3076923076923077
3861,2,8,56,1,9,2,24165.41796875,23022.455078125,0.9690082644628099,0.9917355371900827,112,16,0.9333333333333333
16611,4,8,24,1,1,128,5670.55419921875,3985.3330078125,0.9689750692520775,0.9916897506925209,96,32,0.1935483870967742
18332,4,8,40,2,3,512,16785.567578125,9129.8720703125,0.9689453125,0.998046875,160,32,0.3225806451612903
16709,4,8,40,1,3,64,16301.7017578125,8940.9189453125,0.9689453125,0.98046875,160,32,0.3225806451612903
18713,4,12,56,2,9,8,46520.40390625,41288.90625,0.9689049586776859,0.9901859504132232,224,48,0.19858156028368795
21579,4,8,40,4,5,128,24993.1609375,24001.705078125,0.96875,0.984375,160,32,0.3225806451612903
18326,4,8,40,2,3,8,16822.508984375,9023.7900390625,0.96875,1.0,160,32,0.3225806451612903
24799,5,8,40,2,1,32,8797.591015625,8330.103515625,0.9686250000000001,0.985625,200,40,0.2564102564102564
24798,5,8,40,2,1,16,8802.431640625,8343.609375,0.968625,0.985,200,40,0.2564102564102564
23189,5,8,40,1,3,64,17516.940234375,16702.9921875,0.968625,0.9775,200,40,0.2564102564102564
10264,3,8,48,1,1,32,7136.434375,6704.27001953125,0.9686224489795918,0.9872448979591837,144,24,0.5217391304347826
3840,2,8,56,1,3,128,12191.791015625,11477.255859375,0.9685950413223139,0.9834710743801653,112,16,0.9333333333333333
16612,4,8,24,1,1,256,7097.88212890625,3980.918212890625,0.968421052631579,0.9916897506925207,96,32,0.1935483870967742
24801,5,8,40,2,1,128,8804.531640625,8356.1435546875,0.968375,0.985,200,40,0.2564102564102564
10265,3,8,48,1,1,64,7134.99423828125,6700.6357421875,0.9683673469387756,0.9897959183673469,144,24,0.5217391304347826
12296,3,16,24,2,3,8,19974.773046875,16760.587890625,0.9683673469387755,0.9948979591836735,72,48,0.06382978723404255
26525,5,8,56,3,5,8,26780.8140625,25876.65625,0.9683035714285714,0.9878826530612245,280,40,0.358974358974359
23195,5,8,40,1,5,8,25667.783984375,23575.7109375,0.9682499999999999,0.983125,200,40,0.2564102564102564
24800,5,8,40,2,1,64,8803.41953125,8341.701171875,0.9682499999999999,0.985625,200,40,0.2564102564102564
18718,4,12,56,2,9,256,47534.45625,43436.21484375,0.9681818181818181,0.993801652892562,224,48,0.19858156028368795
4107,2,12,56,1,3,16,14045.1021484375,13264.8115234375,0.9681818181818181,0.9855371900826446,112,24,0.4057971014492754
3836,2,8,56,1,3,8,12194.8869140625,3164.783935546875,0.9681818181818181,0.9834710743801653,112,16,0.9333333333333333
21576,4,8,40,4,5,16,25297.806640625,13472.4912109375,0.9681640625,0.982421875,160,32,0.3225806451612903
24802,5,8,40,2,1,256,8819.633984375,8353.3740234375,0.968125,0.985625,200,40,0.2564102564102564
5885,2,16,32,2,7,512,33825.66328125,20331.498046875,0.9680555555555556,0.9930555555555555,64,32,0.12903225806451613
10345,3,8,56,1,9,32,31024.8859375,28075.86328125,0.9680440771349861,0.9889807162534434,168,24,0.6086956521739131
26380,5,8,32,3,3,4,16452.7451171875,15769.0263671875,0.96796875,0.9833984375,160,40,0.20512820512820512
21930,4,12,56,4,3,128,21118.198046875,17458.51953125,0.9678719008264463,0.9865702479338843,224,48,0.19858156028368795
