,cliques,density,nodes per clique,edges per clique,connectivity between cliques,w2v window,w2v dimensions,average loss,min loss,average auc,max auc
191,1,0.5217391304347826,24,144,1,7,256,28316.525390625,25993.908203125,0.5076530612244897,0.6556122448979591
192,1,0.5217391304347826,24,144,1,9,2,33464.679296875,30487.751953125,0.4262755102040817,0.5752551020408163
193,1,0.5217391304347826,24,144,1,9,4,33469.75234375,30532.408203125,0.4089285714285714,0.5841836734693877
194,1,0.5217391304347826,24,144,1,9,8,33484.141796875,30521.923828125,0.4084183673469388,0.6275510204081632
195,1,0.5217391304347826,24,144,1,9,16,33467.537890625,30565.701171875,0.45510204081632655,0.6135204081632653
196,1,0.5217391304347826,24,144,1,9,32,33471.139453125,30525.634765625,0.4362244897959184,0.6262755102040816
197,1,0.5217391304347826,24,144,1,9,64,33474.800390625,30539.724609375,0.4505102040816326,0.6173469387755102
198,1,0.5217391304347826,24,144,1,9,128,33503.651953125,30545.96484375,0.4497448979591837,0.6198979591836734
199,1,0.5217391304347826,24,144,1,9,256,34329.14609375,30578.6015625,0.4403061224489796,0.6249999999999999
200,1,0.7536231884057971,24,208,1,1,2,8522.994921875,7969.8095703125,0.48292682926829267,0.6353361094586556
201,1,0.7536231884057971,24,208,1,1,4,8494.2333984375,7939.205078125,0.4947055324211779,0.5817965496728138
202,1,0.7536231884057971,24,208,1,1,8,8478.53125,7928.5634765625,0.5355145746579417,0.5889351576442594
203,1,0.7536231884057971,24,208,1,1,16,8456.427734375,7911.048828125,0.5606186793575254,0.6466389054134444
204,1,0.7536231884057971,24,208,1,1,32,8454.9681640625,7908.58837890625,0.5847709696609161,0.6436644854253419
205,1,0.7536231884057971,24,208,1,1,64,8455.2162109375,7910.6005859375,0.5877453896490186,0.6478286734086853
206,1,0.7536231884057971,24,208,1,1,128,8456.0837890625,7911.1318359375,0.5877453896490185,0.6418798334324807
207,1,0.7536231884057971,24,208,1,1,256,8453.669921875,7909.74853515625,0.5878643664485426,0.646044021415824
208,1,0.7536231884057971,24,208,1,3,2,16209.8267578125,14728.62890625,0.597501487209994,0.6246281975014872
209,1,0.7536231884057971,24,208,1,3,4,16194.9927734375,14731.435546875,0.4247471743010113,0.5859607376561571
210,1,0.7536231884057971,24,208,1,3,8,16186.830078125,14723.318359375,0.40725758477096957,0.5562165377751338
211,1,0.7536231884057971,24,208,1,3,16,16179.7587890625,14723.1064453125,0.4529446757882214,0.5508625817965497
212,1,0.7536231884057971,24,208,1,3,32,16183.409375,14735.0283203125,0.4517549077929804,0.5621653777513385
213,1,0.7536231884057971,24,208,1,3,64,16180.8404296875,14725.7666015625,0.4530636525877454,0.5829863176680546
214,1,0.7536231884057971,24,208,1,3,128,16181.5478515625,14739.0517578125,0.4536585365853658,0.5859607376561571
215,1,0.7536231884057971,24,208,1,3,256,16188.27421875,14748.1279296875,0.4531826293872695,0.5847709696609161
216,1,0.7536231884057971,24,208,1,5,2,22109.654296875,20755.568359375,0.5186198691255205,0.6055919095776323
217,1,0.7536231884057971,24,208,1,5,4,22106.739453125,20757.041015625,0.5328970850684117,0.6186793575252826
218,1,0.7536231884057971,24,208,1,5,8,22098.295703125,20730.369140625,0.4941106484235574,0.6490184414039263
219,1,0.7536231884057971,24,208,1,5,16,22097.95859375,20718.787109375,0.5167162403331351,0.6061867935752528
220,1,0.7536231884057971,24,208,1,5,32,22087.46328125,20725.388671875,0.5101725163593099,0.6168947055324212
221,1,0.7536231884057971,24,208,1,5,64,22097.323828125,20725.943359375,0.5182629387269483,0.6133254015466985
222,1,0.7536231884057971,24,208,1,5,128,22090.66796875,20728.54296875,0.5129089827483642,0.6121356335514575
223,1,0.7536231884057971,24,208,1,5,256,22093.419921875,20715.123046875,0.5188578227245687,0.6145151695419394
224,1,0.7536231884057971,24,208,1,7,2,28981.180859375,26362.19921875,0.5043426531826294,0.5960737656157049
225,1,0.7536231884057971,24,208,1,7,4,28982.111328125,26367.7890625,0.5363474122546104,0.6686496133254015
226,1,0.7536231884057971,24,208,1,7,8,28970.510546875,26392.380859375,0.5578227245687092,0.6609161213563355
227,1,0.7536231884057971,24,208,1,7,16,28973.234375,26402.759765625,0.59214753123141,0.6519928613920285
228,1,0.7536231884057971,24,208,1,7,32,28968.430859375,26384.66015625,0.5831052944675787,0.637120761451517
229,1,0.7536231884057971,24,208,1,7,64,28973.576953125,26379.20703125,0.5800118976799525,0.6472337894110648
230,1,0.7536231884057971,24,208,1,7,128,28977.731640625,26445.552734375,0.577989292088043,0.6389054134443783
231,1,0.7536231884057971,24,208,1,7,256,29001.945703125,26439.330078125,0.5812016656751934,0.6365258774538965
232,1,0.7536231884057971,24,208,1,9,2,33757.165625,31462.6640625,0.5161213563355146,0.6287923854848304
233,1,0.7536231884057971,24,208,1,9,4,33768.08359375,31431.587890625,0.5107674003569305,0.6264128494943486
234,1,0.7536231884057971,24,208,1,9,8,33783.2203125,31391.0078125,0.4763831052944676,0.6389054134443783
235,1,0.7536231884057971,24,208,1,9,16,33779.203125,31481.517578125,0.4750743604997026,0.6918500892325996
236,1,0.7536231884057971,24,208,1,9,32,33776.8171875,31435.7890625,0.4671029149315883,0.6644854253420583
237,1,0.7536231884057971,24,208,1,9,64,33777.9375,31463.130859375,0.46757882212968466,0.6829268292682927
238,1,0.7536231884057971,24,208,1,9,128,33785.03515625,31437.41796875,0.4762641284949435,0.6817370612730518
239,1,0.7536231884057971,24,208,1,9,256,33772.828125,31438.9765625,0.4636525877453896,0.660321237358715
240,1,0.9855072463768116,24,272,1,1,2,8372.37099609375,7819.4375,0.40877914951989025,0.5366941015089164
241,1,0.9855072463768116,24,272,1,1,4,8347.09296875,7770.23291015625,0.4729080932784636,0.5685871056241427
242,1,0.9855072463768116,24,272,1,1,8,8329.6021484375,7761.89453125,0.531207133058985,0.5473251028806584
243,1,0.9855072463768116,24,272,1,1,16,8317.44921875,7762.48193359375,0.510150891632373,0.549039780521262
244,1,0.9855072463768116,24,272,1,1,32,8315.90908203125,7761.16796875,0.5032235939643346,0.5483539094650206
245,1,0.9855072463768116,24,272,1,1,64,8316.98955078125,7763.1171875,0.5015089163237312,0.5387517146776406
246,1,0.9855072463768116,24,272,1,1,128,8318.03125,7761.361328125,0.5023319615912208,0.5380658436213992
247,1,0.9855072463768116,24,272,1,1,256,8319.31982421875,7755.48095703125,0.5053497942386832,0.621570644718793
248,1,0.9855072463768116,24,272,1,3,2,15663.49296875,14893.0302734375,0.5074074074074074,0.696159122085048
249,1,0.9855072463768116,24,272,1,3,4,15656.884765625,14897.9267578125,0.5860768175582991,0.6745541838134431
250,1,0.9855072463768116,24,272,1,3,8,15656.787109375,14876.2275390625,0.579355281207133,0.6652949245541837
251,1,0.9855072463768116,24,272,1,3,16,15651.3439453125,14886.8955078125,0.5668724279835391,0.6893004115226337
252,1,0.9855072463768116,24,272,1,3,32,15648.3119140625,14868.8896484375,0.5554183813443073,0.6697530864197532
253,1,0.9855072463768116,24,272,1,3,64,15648.727734375,14880.04296875,0.5545267489711935,0.6680384087791496
254,1,0.9855072463768116,24,272,1,3,128,15654.4259765625,14891.7724609375,0.5478052126200275,0.6851851851851851
255,1,0.9855072463768116,24,272,1,3,256,15654.3890625,14881.0078125,0.5508230452674897,0.6700960219478738
256,1,0.9855072463768116,24,272,1,5,2,22417.346875,20344.634765625,0.49561042524005483,0.6368312757201646
257,1,0.9855072463768116,24,272,1,5,4,22418.73984375,20360.068359375,0.512482853223594,0.6368312757201646
258,1,0.9855072463768116,24,272,1,5,8,22409.190625,20353.36328125,0.5211934156378601,0.6107681755829903
259,1,0.9855072463768116,24,272,1,5,16,22410.65703125,20363.55078125,0.48552812071330587,0.5977366255144033
260,1,0.9855072463768116,24,272,1,5,32,22418.42578125,20365.927734375,0.4843621399176955,0.6045953360768175
261,1,0.9855072463768116,24,272,1,5,64,22420.012109375,20358.99609375,0.48628257887517146,0.6093964334705075
